product_name,applicant,approval_date,te_code,appl_no
BUDESONIDE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2023-04-12,AB,215328
UCERIS,SALIX PHARMACEUTICALS INC,2014-10-07,AB,205613
AMZEEQ,JOURNEY MEDICAL CORP,2019-10-18,,212379
AZELAIC ACID,AUROBINDO PHARMA USA INC,2020-10-07,,210928
BETAMETHASONE VALERATE,ALEMBIC PHARMACEUTICALS LTD,2024-08-22,AB,215832
BETAMETHASONE VALERATE,INGENUS PHARMACEUTICALS LLC,2017-05-24,,207144
BETAMETHASONE VALERATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2012-11-26,AB,078337
BETAMETHASONE VALERATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2017-05-24,AB,208204
BETAMETHASONE VALERATE,XIROMED PHARMA ESPANA SL,2023-04-18,AB,210639
CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,GLENMARK PHARMACEUTICALS LTD,2023-03-21,,214688
CLINDAMYCIN PHOSPHATE,GLENMARK PHARMACEUTICALS LTD,2021-09-20,AT,210778
CLINDAMYCIN PHOSPHATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2010-03-31,AT,090785
CLINDAMYCIN PHOSPHATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2020-03-11,AT,210004
CLOBETASOL PROPIONATE,ALEMBIC PHARMACEUTICALS LTD,2022-04-21,AB1,215838
CLOBETASOL PROPIONATE,GLENMARK PHARMACEUTICALS LTD,2019-02-15,AB1,210809
CLOBETASOL PROPIONATE,GLENMARK PHARMACEUTICALS LTD,2019-09-09,AB2,211450
CLOBETASOL PROPIONATE,NOVAST LABORATORIES LTD,2017-07-31,,206805
CLOBETASOL PROPIONATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2008-03-10,AB1,077763
CLOBETASOL PROPIONATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2012-08-14,AB2,201402
CLOBETASOL PROPIONATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2024-03-14,,208563
CLOBETASOL PROPIONATE,TARO PHARMACEUTICAL INDUSTRIES LTD,2018-10-04,AB1,208779
CLOBETASOL PROPIONATE,XIROMED PHARMA ESPANA SL,2025-11-20,AB1,210638
ECOZA,RESILIA PHARMACEUTICALS INC,2013-10-24,,205175
ENSTILAR,LEO PHARMA AS,2015-10-16,,207589
EVOCLIN,NORVIUM BIOSCIENCE LLC,2004-10-22,,050801
EXTINA,RISING PHARMA HOLDINGS INC,2007-06-12,,021738
FABIOR,MAYNE PHARMA LLC,2012-05-11,,202428
FINACEA,LEO PHARMA AS,2015-07-29,,207071
HALOBETASOL PROPIONATE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2023-08-11,,215266
KETOCONAZOLE,PADAGIS ISRAEL PHARMACEUTICALS LTD,2011-08-25,AB,091550
KETOCONAZOLE,XIROMED PHARMA ESPANA SL,2021-05-21,AB,213601
LEXETTE,MAYNE PHARMA LLC,2018-05-24,,210566
LUXIQ,PHARMOBEDIENT CONSULTING LLC,1999-02-28,,020934
MEN'S ROGAINE,KENVUE BRANDS LLC,2006-01-20,,021812
MINOXIDIL,PERRIGO PHARMA INTERNATIONAL DAC,2011-04-28,,091344
MINOXIDIL (FOR MEN),AUROBINDO PHARMA LTD,2024-04-22,,218616
MINOXIDIL (FOR MEN),P AND L DEVELOPMENT LLC,2017-02-17,,208092
MINOXIDIL (FOR MEN),TARO PHARMACEUTICAL INDUSTRIES LTD,2018-12-31,,209074
MINOXIDIL (FOR WOMEN),AUROBINDO PHARMA LTD,2024-04-22,,218616
MINOXIDIL (FOR WOMEN),P AND L DEVELOPMENT LLC,2017-07-27,,208092
MINOXIDIL (FOR WOMEN),TARO PHARMACEUTICAL INDUSTRIES LTD,2019-04-22,,209074
OLUX,PHARMOBEDIENT CONSULTING LLC,2000-05-26,,021142
OLUX E,PHARMOBEDIENT CONSULTING LLC,2007-01-12,,022013
SORILUX,MAYNE PHARMA LLC,2010-10-06,,022563
VERDESO,ALMIRALL LLC,2006-09-19,,021978
WOMEN'S ROGAINE,KENVUE BRANDS LLC,2014-02-28,,021812
ZILXI,JOURNEY MEDICAL CORP,2020-05-28,,213690
ADVAIR HFA,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,2006-06-08,,021254
ADVAIR HFA,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,2006-06-08,,021254
ADVAIR HFA,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,2006-06-08,,021254
AEROBID,ROCHE PALO ALTO LLC,1984-08-17,,018340
AEROSPAN HFA,PHARMOBEDIENT CONSULTING LLC,2006-01-27,,021247
AIRSUPRA,ASTRAZENECA PHARMACEUTICALS LP,2023-01-10,,214070
ALBUTEROL,ARMSTRONG PHARMACEUTICALS INC,1996-08-14,,072273
ALBUTEROL,GENPHARM INC,1997-08-19,,073045
ALBUTEROL,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,1995-12-28,,073272
ALBUTEROL,PLIVA INC,1996-08-01,,074072
ALBUTEROL SULFATE,AMNEAL IRELAND LTD,2025-12-01,AB2,211600
ALBUTEROL SULFATE,ARMSTRONG PHARMACEUTICALS INC,2024-05-21,AB2,212447
ALBUTEROL SULFATE,CIPLA LTD,2020-04-08,AB1,209959
ALBUTEROL SULFATE,LUPIN INC,2020-08-24,AB2,209954
ALBUTEROL SULFATE,PADAGIS US LLC,2020-02-24,AB2,203760
ALBUTEROL SULFATE,SANDOZ INC,2021-06-01,AB1,207085
ALUPENT,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,,,016402
ALVESCO,COVIS PHARMA GMBH,2008-01-10,,021658
ALVESCO,COVIS PHARMA GMBH,2008-01-10,,021658
ASMANEX HFA,ORGANON LLC,2019-08-12,,205641
ASMANEX HFA,ORGANON LLC,2014-04-25,,205641
ASMANEX HFA,ORGANON LLC,2014-04-25,,205641
ATROPINE SULFATE,UNITED STATES ARMY OFFICE SURGEON GENERAL,1990-09-19,,020056
ATROVENT,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,1986-12-29,,019085
ATROVENT HFA,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,2004-11-27,AB,021527
AZMACORT,ABBVIE INC,1982-04-23,,018117
BECLOMETHASONE DIPROPIONATE,AMNEAL IRELAND LTD,2025-12-16,,213811
BECLOMETHASONE DIPROPIONATE,AMNEAL IRELAND LTD,2025-12-16,,213811
BECLOVENT,GLAXOSMITHKLINE,,,018153
BEVESPI AEROSPHERE,ASTRAZENECA PHARMACEUTICALS LP,2016-04-25,,208294
BRETHAIRE,NOVARTIS PHARMACEUTICALS CORP,1984-08-17,,018762
BREYNA,MYLAN PHARMACEUTICALS INC,2022-03-15,AB,211699
BREYNA,MYLAN PHARMACEUTICALS INC,2022-03-15,AB,211699
BREZTRI AEROSPHERE,ASTRAZENECA AB,2020-07-23,,212122
BRICANYL,SANOFI AVENTIS US LLC,1985-03-19,,018000
BRONCHO SALINE,BLAIREX LABORATORIES INC,1992-09-03,,019912
BRONITIN MIST,WYETH CONSUMER HEALTHCARE,,,016126
BRONKAID MIST,STERLING HEALTH DIV STERLING WINTHROP INC,,,016803
BRONKOMETER,SANOFI AVENTIS US LLC,,,012339
COMBIVENT,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,1996-10-24,,020291
DEXACORT,UCB INC,,,013413
DULERA,ORGANON LLC,2019-08-12,,022518
DULERA,ORGANON LLC,2010-06-22,,022518
DULERA,ORGANON LLC,2010-06-22,,022518
DUO-MEDIHALER,3M PHARMACEUTICALS INC,,,013296
EPINEPHRINE,ARMSTRONG PHARMACEUTICALS INC,1984-05-23,,087907
FLOVENT,GLAXOSMITHKLINE,1996-03-27,,020548
FLOVENT,GLAXOSMITHKLINE,1996-03-27,,020548
FLOVENT,GLAXOSMITHKLINE,1996-03-27,,020548
FLOVENT HFA,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,2004-05-14,AB,021433
FLOVENT HFA,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,2004-05-14,,021433
FLOVENT HFA,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,2004-05-14,,021433
FLUTICASONE PROPIONATE,GLENMARK SPECIALTY SA,2026-03-03,AB,219602
INTAL,KING PHARMACEUTICALS LLC,1985-12-05,,018887
IPRATROPIUM BROMIDE,ARMSTRONG PHARMACEUTICALS INC,2026-02-23,AB,217953
ISOETHARINE MESYLATE,ALPHARMA US PHARMACEUTICALS DIVISION,1984-08-21,,087858
ISOPROTERENOL HYDROCHLORIDE,3M PHARMACEUTICALS INC,,,010375
ISOPROTERENOL HYDROCHLORIDE,ALPHARMA US PHARMACEUTICALS DIVISION,,,085904
ISUPREL,SANOFI AVENTIS US LLC,,,011178
MAXAIR,BAUSCH HEALTH US LLC,1986-12-30,,019009
MAXAIR,BAUSCH HEALTH US LLC,1992-11-30,,020014
MEDIHALER ERGOTAMINE,3M PHARMACEUTICALS INC,,,012102
MEDIHALER-EPI,3M PHARMACEUTICALS INC,,,010374
MEDIHALER-ISO,3M PHARMACEUTICALS INC,,,010375
PRIMATENE MIST,ARMSTRONG PHARMACEUTICALS INC,2018-11-07,,205920
PRIMATENE MIST,WYETH CONSUMER HEALTHCARE,,,016126
PROAIR HFA,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC,2004-10-29,AB2,021457
PROVENTIL,SCHERING CORP SUB SCHERING PLOUGH CORP,,,017559
PROVENTIL-HFA,KINDEVA DRUG DELIVERY LP,1996-08-15,AB1,020503
QVAR 40,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2000-09-15,,020911
QVAR 80,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2000-09-15,,020911
QVAR REDIHALER,NORTON WATERFORD LTD,2017-08-03,,207921
QVAR REDIHALER,NORTON WATERFORD LTD,2017-08-03,,207921
SEREVENT,GLAXOSMITHKLINE,1994-02-04,,020236
SYMBICORT,ASTRAZENECA LP,2006-07-21,AB,021929
SYMBICORT,ASTRAZENECA LP,2006-07-21,AB,021929
SYMBICORT AEROSPHERE,ASTRAZENECA PHARMACEUTICALS LP,2023-04-28,,216579
TILADE,KING PHARMACEUTICALS LLC,1992-12-30,,019660
TORNALATE,SANOFI AVENTIS US LLC,1984-12-28,,018770
VANCERIL,SCHERING CORP SUB SCHERING PLOUGH CORP,,,017573
VANCERIL DOUBLE STRENGTH,SCHERING CORP,1996-12-24,,020486
VENTOLIN,GLAXOSMITHKLINE,,,018473
VENTOLIN HFA,GLAXOSMITHKLINE INTELLECTUAL PROPERTY LTD ENGLAND,2001-04-19,BX,020983
XOPENEX HFA,LUPIN INC,2005-03-11,,021730
BECONASE,GLAXOSMITHKLINE,,,018584
NASACORT,CHATTEM INC DBA SANOFI CONSUMER HEALTHCARE,1991-07-11,,019798
QNASL,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2014-12-17,,202813
QNASL,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2012-03-23,,202813
RHINOCORT,ASTRAZENECA LP,1994-02-14,,020233
VANCENASE,SCHERING CORP SUB SCHERING PLOUGH CORP,,,018521
ZETONNA,COVIS PHARMA GMBH,2012-01-20,,202129
CORTIFOAM,VIATRIS SPECIALTY LLC,1982-02-10,,017351
NITROMIST,EVUS HEALTH SOLUTIONS LLC,2006-11-02,,021780
EPIFOAM,MYLAN SPECIALTY LP,,BX,086457
EXIDINE,XTTRIUM LABORATORIES INC,1984-12-24,,019127
HYDROCORTISONE ACETATE 1% AND PRAMOXINE HYDROCHLORIDE 1%,GENUS LIFESCIENCES INC,1988-05-17,,089440
PROCTOFOAM HC,MYLAN SPECIALTY LP,,BX,086195
TECHNEGAS KIT,CYCLOMEDICA AUSTRALIA PTY LTD,2023-09-29,,022335
SCLEROSOL,SCIARRA LABORATORIES INC,1997-12-24,,020587
DEXACORT,UCB INC,,,014242
XYLOCAINE,ASTRAZENECA LP,,,014394
NITROLINGUAL,POHL BOSKAMP,1985-10-31,,018705
AEROSEB-DEX,ALLERGAN HERBERT DIV ALLERGAN INC,,,083296
AEROSEB-HC,ALLERGAN HERBERT DIV ALLERGAN INC,,,085805
DECASPRAY,MERCK AND CO INC,,,012731
POLYSPORIN,GLAXOSMITHKLINE,1985-03-01,,050167
RID MOUSSE,BAYER HEALTHCARE LLC,2000-03-07,,021043
SEPTISOL,VESTAL LABORATORIES DIV CHEMED CORP,,,017424
TURGEX,XTTRIUM LABORATORIES INC,,,018375
DELFEN,PERSONAL PRODUCTS CO,,,014349
CHOLYBAR,PARKE DAVIS DIV WARNER LAMBERT CO,1988-05-26,,071621
CHOLYBAR,PARKE DAVIS DIV WARNER LAMBERT CO,1988-05-26,,071739
WELCHOL,COSETTE PHARMACEUTICALS INC,2019-04-03,,210895
DOXYCYCLINE HYCLATE,PLIVA INC,1992-06-30,,063187
PREVACID NAPRAPAC 250 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,2003-11-14,,021507
PREVACID NAPRAPAC 375 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,2003-11-14,,021507
PREVACID NAPRAPAC 500 (COPACKAGED),TAKEDA PHARMACEUTICALS NORTH AMERICA INC,2003-11-14,,021507
CYMBALTA,ELI LILLY AND CO,2004-08-03,,021427
CYMBALTA,ELI LILLY AND CO,2004-08-03,,021427
CYMBALTA,ELI LILLY AND CO,2004-08-03,,021427
DEPAKOTE,ABBVIE INC,1989-09-12,AB,019680
